,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
15,Friedrichshain-Kreuzberg,52.5015,13.43512,CONTIPARK Parkhaus Arena,52.507473,13.441488,792,Parking
16,Friedrichshain-Kreuzberg,52.5015,13.43512,Taxihalte Hermannplatz,52.488522,13.424808,1604,Parking
17,Friedrichshain-Kreuzberg,52.5015,13.43512,Tiefgarage,52.51566486653331,13.440949081310668,1625,Parking
18,Friedrichshain-Kreuzberg,52.5015,13.43512,Parkzone 49,52.511325,13.448972,1441,Parking
19,Friedrichshain-Kreuzberg,52.5015,13.43512,Parkhaus ParkCenter,52.491217170560766,13.457596873336879,1905,Parking
20,Friedrichshain-Kreuzberg,52.5015,13.43512,Tiefgarage Ostbahnhof,52.509124,13.433894,852,Parking
21,Friedrichshain-Kreuzberg,52.5015,13.43512,Besser Parken Garage,52.4984221729856,13.408904910309992,1809,Parking
22,Friedrichshain-Kreuzberg,52.5015,13.43512,Parkplatz Wühlischstr. 43,52.50889778137207,13.461840748786926,1989,Parking
23,Friedrichshain-Kreuzberg,52.5015,13.43512,O2 Busparkplatz,52.504176,13.442494,581,Parking
24,Friedrichshain-Kreuzberg,52.5015,13.43512,CONTIPARK Tiefgarage Plaza,52.505672,13.441553,636,Parking
25,Friedrichshain-Kreuzberg,52.5015,13.43512,Parkhaus,52.499622225302225,13.419610656163695,1071,Parking
26,Friedrichshain-Kreuzberg,52.5015,13.43512,DB BahnPark Tiefgarage Ostbahnhof P2,52.509345,13.43335,881,Parking
28,Lichtenberg,52.514581,13.498392,Parkhaus Victoria Center,52.50464671290827,13.473811692690642,1999,Parking
29,Lichtenberg,52.514581,13.498392,Parkhaus Ring-Center,52.51395177619165,13.476735341501465,1468,Parking
30,Lichtenberg,52.514581,13.498392,Parkplatz Oderstraße,52.509567,13.4719305,1877,Parking
31,Lichtenberg,52.514581,13.498392,P+R S+U Bhf. Lichtenberg,52.51052280659618,13.500635900926596,476,Parking
32,Lichtenberg,52.514581,13.498392,Parkplatz Kaisers,52.505069,13.515538,1571,Parking
33,Lichtenberg,52.514581,13.498392,Tuev,52.528472542762756,13.498828411102295,1546,Parking
34,Marzahn-Hellersdorf,52.53972,13.58428,P3 Gärten der Welt,52.535198,13.567049,1270,Parking
35,Marzahn-Hellersdorf,52.53972,13.58428,KaufPark Eiche Parken,52.54829714240735,13.599110577333057,1385,Parking
36,Mitte,52.51674,13.36679,Parkhaus Hilton Berlin,52.51149369217266,13.3918297290802,1794,Parking
37,Mitte,52.51674,13.36679,DB BahnPark Tiefgarage Hauptbahnhof P1,52.524463,13.366747,859,Parking
